filename, concept, elCounter, elELapsedTimeInMilliseconds, elkCounter, elkELapsedTimeInMilliseconds, hermitCounter, hermitELapsedTimeInMilliseconds
cto.clinical-trials-ontology.1.owl.xml, Food_effect, 11,  8,11,  4,  11, 8
cto.clinical-trials-ontology.1.owl.xml, Pregnancy, 11,  9,11,  3,  11, 8
cto.clinical-trials-ontology.1.owl.xml, Baseline_characteristics, 8,  7,8,  3,  8, 7
cto.clinical-trials-ontology.1.owl.xml, Bio-alvailability_study, 8,  7,8,  4,  8, 6
cto.clinical-trials-ontology.1.owl.xml, Control, 10,  8,10,  4,  10, 6
cto.clinical-trials-ontology.1.owl.xml, Case-crossover_study_design, 7,  6,7,  4,  7, 7
cto.clinical-trials-ontology.1.owl.xml, Surrogate_outcome_measure, 10,  6,10,  4,  10, 8
cto.clinical-trials-ontology.1.owl.xml, Randomized_control_trial, 8,  6,8,  3,  8, 7
cto.clinical-trials-ontology.1.owl.xml, Clinical_event, 12,  6,12,  3,  12, 6
cto.clinical-trials-ontology.1.owl.xml, Sequential_trial, 8,  5,8,  3,  8, 8
cto.clinical-trials-ontology.1.owl.xml, Community_trial, 8,  6,8,  3,  8, 10
cto.clinical-trials-ontology.1.owl.xml, Study_contact, 9,  6,9,  3,  9, 10
cto.clinical-trials-ontology.1.owl.xml, Investigator_assignment_role, 10,  6,10,  4,  10, 7
cto.clinical-trials-ontology.1.owl.xml, Active_control_trial, 8,  6,8,  4,  8, 9
cto.clinical-trials-ontology.1.owl.xml, Reason_treatment_not_administered, 12,  6,12,  4,  12, 8
cto.clinical-trials-ontology.1.owl.xml, Data_analyzed_within_multiple_experimental_units, 10,  9,10,  4,  10, 6
cto.clinical-trials-ontology.1.owl.xml, Apathy_Evaluation_Scale, 8,  6,8,  4,  8, 10
cto.clinical-trials-ontology.1.owl.xml, Hour, 10,  6,10,  3,  10, 6
cto.clinical-trials-ontology.1.owl.xml, Study_Conduct_Sub-Domain, 7,  8,7,  3,  7, 6
cto.clinical-trials-ontology.1.owl.xml, Explanatory_trial, 8,  6,8,  3,  8, 5
cto.clinical-trials-ontology.1.owl.xml, Not_yet_recruiting, 11,  6,11,  3,  11, 6
cto.clinical-trials-ontology.1.owl.xml, Scale_for_Depression, 11,  8,11,  3,  11, 11
cto.clinical-trials-ontology.1.owl.xml, Walk_test, 9,  6,9,  3,  9, 9
cto.clinical-trials-ontology.1.owl.xml, Minimization, 12,  6,12,  3,  12, 8
cto.clinical-trials-ontology.1.owl.xml, Randomized_blinded_cross-over, 10,  7,10,  3,  10, 8
cto.clinical-trials-ontology.1.owl.xml, Standard_Deviation, 10,  7,10,  3,  10, 6
cto.clinical-trials-ontology.1.owl.xml, Anxiety_test, 9,  6,9,  3,  9, 7
cto.clinical-trials-ontology.1.owl.xml, Rate_of_institutionalization, 10,  10,10,  4,  10, 6
cto.clinical-trials-ontology.1.owl.xml, Computed_tomography, 9,  7,9,  4,  9, 6
cto.clinical-trials-ontology.1.owl.xml, CogState, 10,  6,10,  3,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Lewy_body_disease, 10,  6,10,  2,  10, 10
cto.clinical-trials-ontology.1.owl.xml, Toxicological_tests, 11,  6,11,  3,  11, 11
cto.clinical-trials-ontology.1.owl.xml, Neuro-Psychiatric_Inventory, 8,  5,8,  3,  8, 6
cto.clinical-trials-ontology.1.owl.xml, Confidence_interval, 10,  6,10,  3,  10, 5
cto.clinical-trials-ontology.1.owl.xml, No_intervention_arm, 9,  6,9,  4,  9, 7
cto.clinical-trials-ontology.1.owl.xml, The_Randomized_Blinded_Trial, 9,  6,9,  4,  9, 6
cto.clinical-trials-ontology.1.owl.xml, Neuroimaging_Structural, 11,  6,11,  4,  11, 7
cto.clinical-trials-ontology.1.owl.xml, Terminated_study, 11,  11,11,  3,  11, 7
cto.clinical-trials-ontology.1.owl.xml, Interventional_study_design, 6,  6,6,  3,  6, 6
cto.clinical-trials-ontology.1.owl.xml, Recruitment_status, 9,  6,9,  3,  9, 6
cto.clinical-trials-ontology.1.owl.xml, Multicentered_Trials, 8,  6,8,  3,  8, 7
cto.clinical-trials-ontology.1.owl.xml, Biological_Specimen, 9,  6,9,  3,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Study_design, 9,  6,9,  3,  9, 8
cto.clinical-trials-ontology.1.owl.xml, Data_analysis_within_experimental_units, 9,  5,9,  3,  9, 6
cto.clinical-trials-ontology.1.owl.xml, Encephalitis, 10,  6,10,  3,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Abnormal_behavior, 12,  6,12,  3,  12, 6
cto.clinical-trials-ontology.1.owl.xml, Cardiac, 12,  6,12,  3,  12, 7
cto.clinical-trials-ontology.1.owl.xml, Physical_examinations, 11,  6,11,  3,  11, 9
cto.clinical-trials-ontology.1.owl.xml, Clinical_trial_ethics, 8,  6,8,  3,  8, 7
cto.clinical-trials-ontology.1.owl.xml, Prospective_observational_cohort, 6,  6,6,  4,  6, 7
cto.clinical-trials-ontology.1.owl.xml, Inpatient, 12,  7,12,  5,  12, 8
cto.clinical-trials-ontology.1.owl.xml, Study_characteristics, 8,  7,8,  3,  8, 7
cto.clinical-trials-ontology.1.owl.xml, Evaluated_Activity, 8,  7,8,  3,  8, 9
cto.clinical-trials-ontology.1.owl.xml, Adverse_events, 11,  6,11,  3,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Group_allocation_design, 9,  5,9,  3,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Mini_Mental_State_Examination, 8,  6,8,  3,  8, 7
cto.clinical-trials-ontology.1.owl.xml, Phase_O, 8,  6,8,  3,  8, 5
cto.clinical-trials-ontology.1.owl.xml, N_of_1_crossover_study_design, 7,  6,7,  2,  7, 7
cto.clinical-trials-ontology.1.owl.xml, Haemopoietic, 12,  5,12,  3,  12, 5
cto.clinical-trials-ontology.1.owl.xml, Recruitment_of_patients, 8,  8,8,  3,  8, 6
cto.clinical-trials-ontology.1.owl.xml, Qualitative_study_design, 5,  6,5,  3,  5, 9
cto.clinical-trials-ontology.1.owl.xml, Safety_measure, 10,  7,10,  3,  10, 6
cto.clinical-trials-ontology.1.owl.xml, Age_group, 11,  6,11,  5,  11, 6
cto.clinical-trials-ontology.1.owl.xml, Regulatory_Application, 9,  6,9,  6,  9, 6
cto.clinical-trials-ontology.1.owl.xml, Frontotemporal_dementia, 10,  6,10,  3,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Genetic_Brain_disorders, 10,  6,10,  3,  10, 5
cto.clinical-trials-ontology.1.owl.xml, g/ml, 10,  6,10,  3,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Phase_II, 8,  5,8,  2,  8, 8
cto.clinical-trials-ontology.1.owl.xml, Reason_for_treatment_interruption, 12,  5,12,  2,  12, 5
cto.clinical-trials-ontology.1.owl.xml, Available_for_expanded_access, 11,  5,11,  2,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Pet_scan, 9,  5,9,  2,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Concomitant_Agent, 8,  6,8,  3,  8, 6
cto.clinical-trials-ontology.1.owl.xml, Allocation_scheme, 9,  6,9,  3,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Uncontrolled_trial, 7,  6,7,  3,  7, 8
cto.clinical-trials-ontology.1.owl.xml, First_recieved_Date, 9,  6,9,  3,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Peripheral_nerve_injury, 10,  6,10,  3,  10, 6
cto.clinical-trials-ontology.1.owl.xml, Hybrid_design, 5,  6,5,  4,  5, 6
cto.clinical-trials-ontology.1.owl.xml, Hazard_ratio, 10,  6,10,  3,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Symptomatic_postural_hypotension, 11,  6,11,  3,  11, 7
cto.clinical-trials-ontology.1.owl.xml, Bio-equivalence_study, 8,  5,8,  2,  8, 5
cto.clinical-trials-ontology.1.owl.xml, Physical_symptoms, 11,  5,11,  2,  11, 6
cto.clinical-trials-ontology.1.owl.xml, Body_Fluids, 9,  6,9,  3,  9, 6
cto.clinical-trials-ontology.1.owl.xml, Week, 10,  5,10,  2,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Inclusion_criteria, 10,  5,10,  3,  10, 8
cto.clinical-trials-ontology.1.owl.xml, Quantitative_study_design, 5,  5,5,  3,  5, 6
cto.clinical-trials-ontology.1.owl.xml, Ethics_approval_process, 13,  6,13,  3,  13, 6
